Go.	Gå!
I'd do anything for you.	Jeg ville gøre alt for dig.
I'd do anything for you.	Jeg ville gøre hvad som helst for dig.
I'd like scrambled eggs.	Jeg vil gerne have røræg.
I'd like you to go away.	Jeg vil gerne have, at du går væk.
I'll be back in an hour.	Jeg kommer tilbage om en time.
I'll be back in an hour.	Jeg er tilbage om en time.
I'll be out in a minute.	Jeg kommer ud om et minut.
I'll keep my mouth shut.	Jeg vil holde min mund lukket.
I'll take that one, too.	Jeg tager også den der.
I'll tell you the truth.	Jeg vil fortælle dig sandheden.
I'll write you a letter.	Jeg vil skrive et brev til dig.
I'm a little bit hungry.	Jeg er småsulten.
I'm a volleyball player.	Jeg er volleyballspiller.
I'm able to read French.	Jeg er i stand til at læse fransk.
I'm able to read French.	Jeg kan læse fransk.
I'm at a loss for words.	Jeg kan ikke finde ord.
I'm at a loss for words.	Jeg savner ord.
I'm aware of the danger.	Jeg er klar over faren.
I'm calling from Boston.	Jeg ringer fra Boston.
I'm fed up with English.	Jeg er træt af engelsk.
I'm fed up with English.	Jeg kan ikke holde engelsk ud.
I'm feeling much better.	Jeg har det meget bedre.
I'm glad you're staying.	Det glæder mig at du bliver.
I'm glad you're staying.	Det glæder mig at I bliver.
I'm going to buy a boat.	Jeg vil købe en båd.
I'm going to marry Mary.	Jeg skal giftes med Mary.
I'm learning French now.	Jeg lærer fransk nu.
I'm no one's girlfriend.	Jeg er ingens kæreste.
I'm not married anymore.	Jeg er ikke længere gift.
I'm on my way to Boston.	Jeg er på vej til Boston.
I'm playing with my cat.	Jeg leger med min kat.
I'm pleased to meet you.	Det glæder mig at møde dig.
I'm repairing the house.	Jeg reparerer huset.
I'm sorry I woke you up.	Undskyld, jeg vækkede dig.
I'm sorry we're so late.	Undskyld at vi kommer så sent.
I'm still the boss here.	Jeg er stadig chefen her.
I'm trying to stay calm.	Jeg forsøger at bevare roen.
I'm undecided as of yet.	Jeg har endnu ikke besluttet mig.
I'm waiting for the bus.	Jeg venter på bussen.
I've been misunderstood.	Jeg er blevet misforstået.
I've filled the bathtub.	Jeg har fyldt badekarret.
I've forgotten her name.	Jeg har glemt hendes navn.
I've forgotten his name.	Jeg har glemt hans navn.
I've got nothing to say.	Jeg har intet at sige.
I've had a busy morning.	Jeg havde en travl morgen.
I've had enough of this.	Jeg har fået nok af det her.
I've had enough of this.	Jeg har fået nok af dette.
I've never seen Tom cry.	Jeg har aldrig set Tom græde.
I've ordered you a beer.	Jeg har bestilt en øl til dig.
I've run short of money.	Jeg er løbet tør for penge.
Is that a bottle opener?	Er det en oplukker?
Is there another option?	Er der en anden mulighed?
Is this sterling silver?	Er dette sterlingsølv?
Is your father a doctor?	Er din far læge?
Is your father a doctor?	Er jeres far læge?
Isn't the weather great?	Er vejret ikke bare godt?
Isn't the weather great?	Er vejret ikke fantastisk?
It is almost 12 o'clock.	Klokken er næsten 12.
It isn't snowing, is it?	Det sner ikke, gør det?
It isn't the same thing.	Det er ikke det samme.
It makes no sense to me.	Det giver ingen mening for mig.
It may freeze next week.	Der kommer måske frostvejr i næste uge.
It rained all last week.	Det regnede hele sidste uge.
It took exactly an hour.	Det tog nøjagtigt en time.
It was a computer error.	Det var en computerfejl.
It was a trick question.	Det var et trickspørgsmål.
It'll stop raining soon.	Det holder snart op med at regne.
It's Tom's and my horse.	Det er Toms og min hest.
It's a golden retriever.	Det er en golden retriever.
It's a reasonable price.	Det er en rimelig pris.
It's a terrible problem.	Det er et frygteligt problem.
It's almost six o'clock.	Klokken er næsten seks.
It's been raining a lot.	Det har regnet meget.
It's going to rain soon.	Der er regn på vej.
It's going to rain soon.	Det vil snart regne.
It's nearly six o'clock.	Klokken er næsten seks.
It's not rocket science.	Det er ikke raketvidenskab.
It's not the first time.	Det er ikke første gang.
It's not the same thing.	Det er ikke det samme.
It's only three o'clock.	Klokken er kun tre.
It's pretty interesting.	Det er ret interessant.
It's such a nice change.	Det er sådan en dejlig forandring.
It's your turn to drive.	Det er din tur til at køre.
Keep an eye on the kids.	Hold øje med børnene.
Keep it in a cool place.	Bevar den på et koldt sted.
Let me introduce myself.	Lad mig præsentere mig selv.
Let me know how it goes.	Lad mig vide hvordan det går.
Let's drive to the lake.	Lad os køre hen til søen!
Let's go someplace else.	Lad os gå et andet sted hen.
Let's go someplace warm.	Lad os gå et sted hen hvor det er varmt!
Let's go somewhere else.	Lad os gå et andet sted hen.
Let's go somewhere warm.	Lad os gå et sted hen hvor det er varmt!
Let's hope you're right.	Lad os håbe at du har ret.
Let's hope you're right.	Lad os håbe at I har ret.
Let's take a sneak peek.	Lad os tage en smugkik.
Let's take a sneak peek.	Lad os tage en smugkig.
Let's take the elevator.	Lad os tage elevatoren!
Let's take the elevator.	Lad os tage elevatoren.
Life is full of secrets.	Livet er fuld af hemmeligheder.
Mary has two boyfriends.	Mary har to kærester.
Mary ironed Tom's shirt.	Mary strøg Toms skjorte.
Mary is a retired nurse.	Mary er en pensioneret sygeplejerske.
Mary is a single mother.	Mary er enlig mor.
May I ask you something?	Må jeg spørge dig om noget?
May I borrow your radio?	Må jeg låne din radio?
May I see your passport?	Må jeg se dit pas?
May I swim in this lake?	Må jeg svømme i denne sø?
May I use the telephone?	Må jeg låne telefonen?
Mind if I join you guys?	Har I noget imod at jeg slutter mig til jer?
Money is not everything.	Penge er ikke alt.
Monkeys are intelligent.	Aber er intelligente.
My bike has been stolen.	Min cykel er blevet stjålet.
My brother plays guitar.	Min bror spiller guitar.
My father likes his job.	Min far kan lide sit arbejde.
My father quit drinking.	Min far er holdt op med at drikke.
My feet are always cold.	Mine fødder er altid kolde.
My uncle gave me a gift.	Min onkel gav mig en gave.
My wife is a vegetarian.	Min kone er vegetar.
My wife loves apple pie.	Min kone elsker æblekage.
My world's fallen apart.	Min verden er faldet fra hinanden.
Never talk to strangers.	Tal aldrig med fremmede.
No one but Tom survived.	Ingen bortset fra Tom overlevede.
No one knew who she was.	Ingen vidste hvem hun var.
No one knows everything.	Ingen ved alt.
No one knows the answer.	Ingen kender svaret.
Nobody knows everything.	Ingen ved alt.
Nobody knows my country.	Ingen kender mit land.
Nobody knows the answer.	Ingen kender svaret.
Not all swans are white.	Ikke alle svaner er hvide.
Not every bird can sing.	Ikke enhver fugl kan synge.
Not everyone is worried.	Ikke alle er bekymret.
Oh my God, you're drunk.	Ih du milde! Du er jo fuld!
One day you'll thank me.	Du kommer til at takke mig en skønne dag.
Open this bottle for me.	Åbn denne flaske for mig.
Playing baseball is fun.	Det er sjovt at spille baseball.
Please answer in French.	Svar venligst på fransk.
Please buy a few apples.	Køb nogle æbler.
Please close the window.	Luk venligst vinduet.
Please delete this file.	Vær så venlig at slette denne fil!
Please don't use French.	Undlad venligst at bruge fransk.
Please pass me the salt.	Vil du være så venlig at række mig saltet?
Please pass me the salt.	Vær så venlig at række mig saltet.
Please turn off the gas.	Luk for gassen!
Pour this down the sink.	Hæld dette ned i vasken.
Power brings corruption.	Magt korrumperer.
Prisons are overcrowded.	Fængslerne er overfyldte.
Put it into a paper bag.	Put den i en papirspose.
Put it into a paper bag.	Put det i en papirspose.
Put out your cigarettes.	Skod dine cigaretter.
She bought a dozen eggs.	Hun købte et dusin æg.
She bought a dozen eggs.	Hun har købt et dusin æg.
She bought him a camera.	Hun købte et fotografiapparat til ham.
She can't write or read.	Hun kan hverken skrive eller læse.
She changed the subject.	Hun skiftede emne.
She drank a cup of milk.	Hun drak en kop mælk.
She easily catches cold.	Hun bliver let forkølet.
She had a narrow escape.	Hun undslap med nød og næppe.
She has a swimming pool.	Hun har en swimmingpool.
She is a serious person.	Hun er en seriøs person.
She is dressed in white.	Hun er klædt i hvidt.
She sat on a hard chair.	Hun sad på en hård stol.
She studies mathematics.	Hun studerer matematik.
She was falsely accused.	Hun blev falsk anklaget.
She waved goodbye to me.	Hun vinkede farvel til mig.
She wouldn't let him in.	Hun ville ikke lade ham komme ind.
She's fluent in English.	Hun taler flydende engelsk.
Somebody stole my lunch.	Nogen har stjålet min frokost.
Something is wrong here.	Der er noget galt her.
Stay away from that guy.	Hold dig fra den fyr.
Stop acting like a baby.	Hold op med at opføre dig som en baby.
Stop crying like a girl.	Hold op med at græde som en pige!
Tell me about your wife.	Fortæl mig om din kone.
Tell me what's going on.	Fortæl mig hvad der foregår!
Tell us about your plan.	Fortæl os om din plan.
Tell us what's going on.	Fortæl os hvad der foregår.
Thank you for your gift.	Tak for din gave.
Thanks for nothing, Tom.	Tak for ingenting, Tom!
That boy is very clever.	Den dreng er meget klog.
That boy showed no fear.	Den dreng viste ingen frygt.
That doesn't make sense.	Det giver ingen mening.
That remains to be seen.	Vi får se.
That's a beautiful suit.	Det er et smukt jakkesæt.
That's a brilliant idea.	Det er en strålende idé.
That's a tough question.	Det er et vanskeligt spørgsmål.
That's a tough question.	Det er et svært spørgsmål.
That's a very bad habit.	Det er en meget dårlig vane.
That's a waste of money.	Det er spild af penge.
That's better, isn't it?	Det er bedre, ikke sandt?
That's better, isn't it?	Det er bedre, er det ikke?
That's enough for today.	Det er nok for i dag.
That's just the problem.	Det er netop problemet.
That's the best we have.	Det er den bedste vi har.
That's very interesting.	Det er meget interessant.
That's why he got angry.	Det er derfor han blev vred.
The CIA is watching you.	CIA overvåger dig.
The CIA is watching you.	CIA overvåger jer.
The bird is in its nest.	Fuglen er i sin rede.
The bread is still warm.	Brødet er stadig varmt.
The cat caught the rats.	Katten fangede rotterne.
The cat is on the table.	Katten er på bordet.
The climate is changing.	Klimaet ændrer sig.
The concert is sold out.	Koncerten er udsolgt.
The dog is in the house.	Hunden er i huset.
The dog is on the chair.	Hunden er på stolen.
The dog wagged its tail.	Hunden logrede med halen.
The door is opening now.	Døren åbnes nu.
The front door was open.	Fordøren var åben.
The front door was open.	Fordøren stod åben.
The grass needs cutting.	Græsset trænger til at blive slået.
The hawk caught a mouse.	Høgen fangede en mus.
The imposter was caught.	Bedrageren blev fanget.
The key is on the table.	Nøglen ligger på bordet.
The kitchen door opened.	Køkkendøren åbnede.
The maid served the tea.	Tjenestepigen serverede teen.
The night's still young.	Natten er stadig ung.
The nurse vaccinated me.	Sygeplejersken vaccinerede mig.
The pot is boiling over.	Gryden koger over.
The project is underway.	Projektet er undervejs.
The project was aborted.	Projektet blev afbrudt.
The question now is how.	Spørgsmålet nu er hvordan.
The question now is who.	Spørgsmålet nu er hvem.
The question now is why.	Spørgsmålet nu er hvorfor.
The rabbi is on his way.	Rabbien er på vej.
The truth is undeniable.	Sandheden er ubestridelig.
The walls are very thin.	Væggene er meget tynde.
The world is a madhouse.	Verden er et galehus.
There is a page missing.	Der mangler en side.
There were no survivors.	Der var ingen overlevende.
There's no toilet paper.	Der er intet toiletpapir.
There's not enough food.	Der er ikke nok mad.
There's something wrong.	Der er noget i vejen.
There's something wrong.	Der er noget galt.
These apples are rotten.	Disse æbler er rådne.
These apples taste good.	De her æbler smager godt.
These apples taste good.	Disse æbler smager godt.
These are Tom's glasses.	Disse er Toms briller.
These are Tom's glasses.	De her er Toms briller.
They forgot my birthday.	De glemte min fødselsdag.
They had good chemistry.	De havde god kemi.
They reached their goal.	De nåede deres mål.
They rowed up the river.	De drog op ad floden.
They rowed up the river.	De roede op ad floden.
They washed their hands.	De vaskede deres hænder.
They went up the stairs.	De gik op ad trappen.
They wouldn't let us in.	De ville ikke lade os komme ind.
They wouldn't let us in.	De ville ikke slippe os ind.
They're police officers.	De er politibetjente.
Think about your future.	Tænk på din fremtid.
This animal is friendly.	Dette dyr er venligt.
This apple is too small.	Dette æble er for lille.
This book belongs to me.	Denne bog er min.
This book belongs to me.	Denne bog tilhører mig.
This book is very small.	Denne bog er meget lille.
This coffee is too weak.	Den her kaffe er for tynd.
This dictionary is mine.	Den her ordbog er min.
This flower smells nice.	Denne blomst dufter godt.
This flower smells nice.	Denne blomst dufter dejligt.
This food smells rotten.	Denne fødevare lugter råddent.
This house is for sale.	Dette hus er til salg.
This is a Japanese doll.	Dette er en japansk dukke.
This is all that I know.	Dette er alt hvad jeg ved.
This is incredibly good.	Dette er utroligt godt.
This is incredibly good.	Det her er utroligt godt.
This is incredibly good.	Dette er utrolig godt.
This is incredibly good.	Det her er utrolig godt.
This pencil is not gray.	Denne blyant er ikke grå.
This table isn't steady.	Dette bord står ikke stabilt.
This website is useless.	Denne hjemmeside er ubrugelig.
This won't happen again.	Dette sker ikke igen.
Today is Tom's birthday.	I dag er det Toms fødselsdag.
Tom asked me to do this.	Tom bad mig om at gøre dette.
Tom blow-dried his hair.	Tom føntørrede sit hår.
Tom bought a hybrid car.	Tom købte en hybridbil.
Tom bought a hybrid car.	Tom har købt en hybridbil.
Tom can sing quite well.	Tom synger ret godt.
Tom can't hear anything.	Tom kan ikke høre noget.
Tom can't hear anything.	Tom kan intet høre.
Tom changed the channel.	Tom skiftede kanal.
Tom did it just for fun.	Tom gjorde det for sjovs skyld.
Tom did that on purpose.	Tom gjorde det med vilje.
Tom did that on purpose.	Det gjorde Tom med vilje.
Tom didn't believe Mary.	Tom troede ikke på Mary.
Tom didn't drink coffee.	Tom har ikke drukket kaffe.
Tom didn't drink coffee.	Tom drak ikke kaffe.
Tom died in a car crash.	Tom døde i en bilulykke.
Tom emptied his pockets.	Tom tømte sine lommer.
Tom felt like a new man.	Tom følte sig som et nyt menneske.
Tom gave me some advice.	Tom gav mig nogle råd.
Tom got stung by a wasp.	Tom blev stukket af en hveps.
Tom had a narrow escape.	Tom undslap med nød og næppe.
Tom had nothing to read.	Tom havde intet at læse.
Tom has a beautiful car.	Tom har en smuk bil.
Tom has a muscular body.	Tom har en muskuløs krop.
Tom has already started.	Tom er allerede begyndt.
Tom has become a father.	Tom er blevet far.
Tom has overslept again.	Tom har sovet for længe igen.
Tom has overslept again.	Tom har sovet over sig igen.
Tom has trouble hearing.	Tom har problemer med hørelsen.
Tom ironed his trousers.	Tom strøg sine bukser.
Tom is Mary's chauffeur.	Tom er Marys chauffør.
Tom is a French teacher.	Tom er fransklærer.
Tom is a cocaine addict.	Tom er kokainmisbruger.
Tom is a former athlete.	Tom er eksatlet.
Tom is a friend of mine.	Tom er min ven.
Tom is a gifted painter.	Tom er en talentfuld maler.
Tom is a police officer.	Tom er politibetjent.
Tom is a sports fanatic.	Tom er sportsfanatiker.
Tom is about Mary's age.	Tom er omtrent på Marys alder.
Tom is drunk as a skunk.	Tom er fuld som en allike.
Tom is fed up with Mary.	Tom er træt af Mary.
Tom is having a potluck.	Tom holder et sammenskudsgilde.
Tom is hyperventilating.	Tom hyperventilerer.
Tom is in over his head.	Tom er ude hvor han ikke kan bunde.
Tom is like a son to me.	Tom er som en søn for mig.
Tom is not a cat person.	Tom er ikke et kattemenneske.
Tom is not a cat person.	Tom er ikke til katte.
Tom is out of the woods.	Tom er i smult vande.
Tom is preparing supper.	Tom er ved at lave aftensmad.
Tom is riding a bicycle.	Tom kører på en cykel.
Tom is riding a bicycle.	Tom cykler.
Tom is sure to be fired.	Tom bliver helt sikkert fyret.
Tom is sure to be fired.	Det er helt sikkert at Tom bliver fyret.
Tom is taller than Mary.	Tom er højere end Mary.
Tom is the big dog here.	Tom er den tunge dreng her.
Tom is the only suspect.	Tom er den eneste der er mistænkt.
Tom is used to the work.	Tom er vant til arbejdet.
Tom is walking his dogs.	Tom lufter sine hunde.
Tom is wasting his time.	Tom spilder sin tid.
Tom is writing a letter.	Tom skriver et brev.
Tom is writing a letter.	Tom er i færd med at skrive et brev.
Tom is writing an essay.	Tom er i gang med at skrive et essay.
Tom isn't Mary's friend.	Tom er ikke Marys ven.
Tom isn't angry anymore.	Tom er ikke vred mere.
Tom isn't angry anymore.	Tom er ikke vred længere.
Tom isn't his real name.	Tom er ikke hans rigtige navn.
Tom keeps his car clean.	Tom holder sin bil ren.
Tom kissed Mary goodbye.	Tom kyssede Mary farvel.
Tom knows Mary will win.	Tom ved at Mary vinder.
Tom lent us his new car.	Tom lånte os sin nye bil.
Tom looks like a zombie.	Tom ligner en zombie.
Tom lost his teddy bear.	Tom mistede sin teddybjørn.
Tom lost his teddy bear.	Tom mistede sin bamse.
Tom may lose everything.	Tom mister muligvis alt.
Tom misses his daughter.	Tom savner sin datter.
Tom must be happier now.	Tom må være gladere nu.
Tom must be happier now.	Tom må være lykkeligere nu.
Tom never makes his bed.	Tom reder aldrig sin seng.
Tom offered Mary a beer.	Tom tilbød Mary en øl.
Tom opened his backpack.	Tom åbnede sin rygsæk.
Tom put on his backpack.	Tom tog sin rygsæk på.
Tom received a telegram.	Tom modtog et telegram.
Tom said Mary would cry.	Tom sagde at Mary ville græde.
Tom said he was thirsty.	Tom sagde at han var tørstig.
Tom said that yesterday.	Tom sagde det i går.
Tom said that yesterday.	Tom har sagt det i går.
Tom said you would come.	Tom sagde at du ville komme.
Tom saw a flying saucer.	Tom så en flyvende tallerken.
Tom says he's very rich.	Tom siger han er meget rig.
Tom should be here soon.	Tom skulle være her snart.
Tom survived the attack.	Tom overlevede angrebet.
Tom underestimated Mary.	Tom undervurderede Mary.
Tom used to write poems.	Tom har engang skrevet digte.
Tom used to write poems.	Tom plejede at skrive digte.
Tom was Mary's neighbor.	Tom var Marys nabo.
Tom was at home all day.	Tom var hjemme hele dagen.
Tom was caught cheating.	Tom blev taget i at snyde.
Tom was dying of thirst.	Tom var ved at dø af tørst.
Tom was moaning in pain.	Tom stønnede af smerte.
Tom was very nice to me.	Tom var meget venlig overfor mig.
Tom was visibly annoyed.	Tom var synligt irriteret.
Tom was writing a novel.	Tom var i gang med at skrive en roman.
Tom wasn't a lumberjack.	Tom var ikke skovhugger.
Tom wasn't able to walk.	Tom kunne ikke gå.
Tom wasn't found guilty.	Tom blev ikke fundet skyldig.
Tom wasn't helping Mary.	Tom hjalp ikke Mary.
Tom watered the flowers.	Tom vandede blomsterne.
Tom went to sleep happy.	Tom faldt lykkelig i søvn.
Tom wore safety glasses.	Tom bar sikkerhedsbriller.
Tom wore safety glasses.	Tom havde sikkerhedsbriller på.
Tom works at McDonald's.	Tom arbejder hos McDonald's.
Tom works at a hospital.	Tom arbejder på et hospital.
Tom works on an oil rig.	Tom arbejder på en olieboreplatform.
Tom would've helped you.	Tom ville have hjulpet dig.
Tom wouldn't believe us.	Tom ville ikke tro på os.
Tom's children are sick.	Toms børn er syge.
Tom's dad has just died.	Toms far er lige død.
Tom's dog attacked Mary.	Toms hund angreb Mary.
Tom's father is in jail.	Toms far er i fængsel.
Tom's house is for sale.	Toms hus er til salg.
Tom's knapsack is empty.	Toms rygsæk er tom.
Tom's knapsack is empty.	Toms tornyster er tom.
Tom's mother was crying.	Toms mor græd.
Tom, get us out of here!	Tom, få os ud herfra!
Tom, you need a haircut.	Tom, du trænger til at blive klippet.
Two plus two makes four.	To plus to giver fire.
Was anybody else absent?	Var nogen anden fraværende?
Water has zero calories.	Vand indeholder nul kalorier.
Water is very important.	Vand er meget vigtigt.
We are a family of five.	Vi er en familie på fem.
We became close friends.	Vi blev nære venner.
We can't be too careful.	Vi kan ikke være for forsigtige.
We can't find the cause.	Vi kan ikke finde årsagen.
We can't guarantee that.	Det kan vi ikke garantere.
We can't simply give up.	Vi kan ikke bare give op.
We could talk about Tom.	Vi kunne tale om Tom.
We didn't find a weapon.	Vi fandt ikke et våben.
We didn't find a weapon.	Vi har ikke fundet et våben.
We didn't need to hurry.	Vi behøvede ikke at skynde os.
We don't have any water.	Vi har ikke noget vand.
We have a cat and a dog.	Vi har en kat og en hund.
We have a dog and a cat.	Vi har en hund og en kat.
We have three days left.	Vi har tre dage tilbage.
We hope it doesn't rain.	Vi håber at det ikke regner.
We just went for a walk.	Vi har lige gået en tur.
We live near the school.	Vi bor nær ved skolen.
We never work on Sunday.	Vi arbejder aldrig om søndagen.
We rented the apartment.	Vi har lejet lejligheden.
We smell with our noses.	Vi lugter med vores næser.
We used to call him Tom.	Vi kaldte ham Tom.
We'd better go home now.	Vi må hellere gå hjem nu.
We'd better go home now.	Det er bedst at vi går hjem nu.
We'll all miss you, Tom.	Vi vil alle savne dig, Tom.
We'll attack at sunrise.	Vi angriber ved solopgang.
We'll take what we need.	Vi vil tage hvad vi har brug for.
We'll take what we need.	Vi vil tage det vi har brug for.
We're on speaking terms.	Vi er på talefod.
We're on the wrong road.	Vi er på den forkerte vej.
Well begun is half done.	Godt begyndt er halvt fuldendt.
Were you at the concert?	Var du med til koncerten?
Were you at the concert?	Var I med til koncerten?
What I saw surprised me.	Det jeg så, overraskede mig.
What I saw surprised me.	Hvad jeg så, overraskede mig.
What a beautiful flower!	Sikke en smuk blomst!
What an expensive piano!	Sikke et dyrt klaver!
What an expensive piano!	Sikke et dyrt piano!
What are you doing home?	Hvad laver du hjemme?
What are you guys up to?	Hvad har I gang i?
What are you guys up to?	Hvad er I ude på?
What are you guys up to?	Hvad har I for?
What are you kids doing?	Hvad laver I, børn?
What are you kids doing?	Hvad er det I går og laver, børn?
What are you staring at?	Hvad stirrer du på?
What are you staring at?	Hvad glor du på?
What color is your hair?	Hvilken farve har dit hår?
What color is your hair?	Hvilken hårfarve har du?
What did you say to Tom?	Hvad har du sagt til Tom?
What did you say to Tom?	Hvad sagde I til Tom?
What do kids like to do?	Hvad kan børn lide at lave?
What do you make of him?	Hvad mener du om ham?
What does PTA stand for?	Hvad står "PTA" for?
What does USB stand for?	Hvad står USB for?
What does USB stand for?	Hvad betyder USB?
What does it sound like?	Hvad lyder det som?
What don't I understand?	Hvad forstår jeg ikke?
What have you told them?	Hvad har du fortalt dem?
What is aspirin made of?	Hvad består aspirin af?
What is the latest news?	Hvad er seneste nyt?
What is your blood type?	Hvad er din blodtype?
What is your occupation?	Hvad er din profession?
What time does it start?	Hvad tid begynder det?
What was Tom doing here?	Hvad skulle Tom her?
What were you expecting?	Hvad forventede du?
What will become of her?	Hvad skal der blive af hende?
What's going on at work?	Hvad sker der på arbejdet?
What's going on in here?	Hvad sker der herinde?
What's going on in here?	Hvad foregår der herinde?
What's going on outside?	Hvad foregår der udenfor?
What's going on outside?	Hvad sker der udenfor?
What's going on tonight?	Hvad sker der i aften?
What's in your backpack?	Hvad er der i din rygsæk?
What's the soup du jour?	Hvad er dagens suppe?
What's your maiden name?	Hvad er dit pigenavn?
When does the bus leave?	Hvornår kører bussen?
When will you come home?	Hvornår kommer du hjem?
Where are my sunglasses?	Hvor er mine solbriller?
Where are our umbrellas?	Hvor er vores paraplyer?
Where are they swimming?	Hvor svømmer de?
Where are you guys from?	Hvor kommer I fra?
Where are your children?	Hvor er dine børn?
Where are your children?	Hvor er jeres børn?
Where can I buy a brush?	Hvor kan jeg købe en børste?
Where can I buy a brush?	Hvor kan jeg købe en pensel?
Where did I put my keys?	Hvor lagde jeg mine nøgler?
Where did you guys meet?	Hvor har I lært hinanden at kende?
Where do they come from?	Hvor kommer de fra?
Where was Tom yesterday?	Hvor var Tom i går?
Where's your father now?	Hvor er din far nu?
Where's your grandchild?	Hvor er dit barnebarn?
Where's your magic wand?	Hvor er din tryllestav?
Who are you laughing at?	Hvem ler du af?
Who are you laughing at?	Hvem griner du af?
Who are you looking for?	Hvem leder du efter?
Who hung up the laundry?	Hvem har hængt vasketøjet op?
Who is the team's coach?	Hvem er holdets træner?
Who wants hot chocolate?	Hvem ønsker varm chokolade?
Why are you so troubled?	Hvorfor er du så ængstelig?
Why aren't they worried?	Hvorfor er de ikke bekymret?
Why aren't they worried?	Hvorfor er de ikke bekymrede?
Why do you study French?	Hvorfor studerer du fransk?
Why don't you leave Tom?	Hvorfor forlader du ikke Tom?
Why is Tom hoarse today?	Hvorfor er Tom hæs i dag?
Will you go out with me?	Vil du gå ud med mig?
Winners don't use drugs.	Vindere tager ikke stoffer.
Wool prices are falling.	Uldpriserne falder.
Wool prices are falling.	Prisen på uld falder.
Would you do me a favor?	Vil du gøre mig en tjeneste?
Would you like a cookie?	Vil du have en småkage?
Would you like a cookie?	Hvad med en småkage?
Would you like to dance?	Vil du danse?
Would you recognize Tom?	Ville du kunne genkende Tom?
Write your name in full.	Skriv dit navn fuldt ud.
You are a good customer.	Du er en god kunde.
You are very courageous.	Du er meget modig.
You can delete that now.	Du kan slette det nu.
You can get dressed now.	Du kan klæde dig på nu.
You can wait over there.	Du kan vente derovre.
You can wait over there.	I kan vente derovre.
You can't both be right.	I kan ikke begge have ret.
You can't get rid of me.	Du kan ikke slippe af med mig.
You can't prove a thing.	Du kan ikke bevise noget.
You caught me off-guard.	Du overrumplede mig.
You did that on purpose.	Det gjorde du med vilje.
You did that on purpose.	Du gjorde det med vilje.
You don't know who I am.	Du ved ikke hvem jeg er.
You don't need to panic.	Du behøver ikke at gå i panik.
You don't sound so sure.	Du lyder ikke så sikker.
You have very sexy legs.	Du har meget sexede ben.
You left your lights on.	Du har lys på.
You left your lights on.	Du har ladet lyset være tændt.
You must've been asleep.	Du må have sovet.
You need an interpreter.	Du har brug for en tolk.
You never agree with me.	Du er aldrig enig med mig.
You never stop learning.	Man skal lære så længe man lever.
You really are an idiot.	Du er virkelig en idiot.
You should quit smoking.	Du burde holde op med at ryge.
You should quit smoking.	I burde holde op med at ryge.
You surprised everybody.	Du overraskede alle.
You won't be interested.	Du vil ikke være interesseret.
You won't have a choice.	Du får ikke et valg.
You'd better not go out.	Du burde ikke gå ud.
You're a beautiful girl.	Du er en smuk pige.
You're a very lucky man.	Du er en meget heldig mand.
You're absolutely right.	Du har fuldstændig ret.
You're completely right.	Du har fuldstændig ret.
You're driving too fast.	Du kører for hurtigt.
You're right, of course.	Du har selvfølgelig ret.
You're right, of course.	Du har naturligvis ret.
You're the problem, Tom.	Du er problemet, Tom.
You're white as a sheet.	Du er hvid som et lagen.
You're younger than Tom.	Du er yngre end Tom.
You've got three wishes.	Du har tre ønsker.
Your brother needs help.	Din bror har brug for hjælp.
Your guests are waiting.	Dine gæster venter.
Your guests are waiting.	Dine gæster venter allerede.
Your house is fantastic.	Dit hus er fantastisk.
Your name is Tom, right?	Dit navn er Tom, ikke sandt?
A day has 86,400 seconds.	Et døgn har 86400 sekunder.
A lot of kids wear jeans.	Mange børn går med cowboybukser.
A lot of kids wear jeans.	Mange børn går i cowboybukser.
A lot of kids wear jeans.	Mange børn går i jeans.
A lot of kids wear jeans.	Mange børn går med jeans.
A lot of kids wear jeans.	Mange unge går med jeans.
A tea with lemon, please.	En te med citron, tak!
A year has twelve months.	Et år har tolv måneder.
All Tom does is watch TV.	Tom laver ikke andet end at se fjernsyn.
All the apples are there.	Alle æblerne er der.
All the guests have left.	Alle gæsterne er gået.
Am I disturbing anything?	Forstyrrer jeg?
An accident has happened.	Der er sket en ulykke.
Antibiotics are overused.	Der er et overforbrug af antibiotika.
Are Tom and Mary married?	Er Tom og Mary gift?
Are all the doors locked?	Er alle døre låst?
Are they speaking French?	Taler de fransk?
Are they speaking French?	Er det fransk de taler?
Are you a police officer?	Er du politibetjent?
Are you able to solve it?	Er du i stand til at løse det?
Are you able to solve it?	Er I i stand til at løse det?
Are you afraid of snakes?	Er du bange for slanger?
Are you going to kiss me?	Kysser du mig?
Are you here with anyone?	Er du her sammen med nogen?
Are you in love with Tom?	Er du forelsket i Tom?
Are you wearing lipstick?	Har du læbestift på?
Ask me anything you want.	Spørg mig om alt hvad du vil.
Barking dogs seldom bite.	Gøende hunde bider sjældent.
Barking dogs seldom bite.	Hunde der gør, bider sjældent.
Butter is made from milk.	Smør laver man af mælk.
Butter is made from milk.	Smør er lavet af mælk.
By the way, where is Tom?	Forresten, hvor er Tom?
Can I ask you a question?	Må jeg stille dig et spørgsmål?
Can I borrow your pencil?	Må jeg låne din blyant?
Can I count on your help?	Kan jeg regne med din hjælp?
Can I get your autograph?	Kan jeg få din autograf?
Can I use your telephone?	Må jeg bruge din telefon?
Can I use your telephone?	Må jeg bruge jeres telefon?
